Numer of labeled samples:14380   AUC:0.981
Numer of labeled samples:14383   AUC:0.984
Numer of labeled samples:14375   AUC:0.982
Numer of labeled samples:14379   AUC:0.981
Numer of labeled samples:14377   AUC:0.980
Numer of labeled samples:14383   AUC:0.982
Numer of labeled samples:14386   AUC:0.982
Numer of labeled samples:14392   AUC:0.983
Numer of labeled samples:14395   AUC:0.982
Numer of labeled samples:14377   AUC:0.982
Numer of labeled samples:14375   AUC:0.980
Numer of labeled samples:14378   AUC:0.981
Numer of labeled samples:14384   AUC:0.981
Numer of labeled samples:14387   AUC:0.981
Numer of labeled samples:14381   AUC:0.981
Numer of labeled samples:14375   AUC:0.982
Numer of labeled samples:14384   AUC:0.984
Numer of labeled samples:14376   AUC:0.982
Numer of labeled samples:14380   AUC:0.980
Numer of labeled samples:14375   AUC:0.981
Numer of labeled samples:14377   AUC:0.979
Numer of labeled samples:14387   AUC:0.982
Numer of labeled samples:14381   AUC:0.982
Numer of labeled samples:14387   AUC:0.981
Numer of labeled samples:14381   AUC:0.980
